derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_age
Hispanic or Latino,White,Joint,3,115000,4.458762699,145000,42,25-34
Hispanic or Latino,White,Male,3,315000,4.458762699,865000,71,45-54
Hispanic or Latino,White,Male,1,265000,6.125,675000,79,25-34
Ethnicity Not Available,Black or African American,Female,3,165000,4.458762699,335000,34,65-74
Hispanic or Latino,Race Not Available,Male,3,275000,4.458762699,345000,121,35-44
Hispanic or Latino,White,Male,3,345000,4.458762699,425000,51,25-34
Hispanic or Latino,White,Male,3,345000,4.458762699,425000,100,25-34
Hispanic or Latino,White,Female,3,115000,4.458762699,205000,33,35-44
Hispanic or Latino,White,Male,3,315000,4.458762699,365000,88,45-54
Hispanic or Latino,Race Not Available,Male,1,245000,5.75,385000,190,35-44
Hispanic or Latino,White,Joint,3,365000,4.458762699,725000,89,35-44
Hispanic or Latino,White,Female,3,265000,4.458762699,355000,84,35-44
Hispanic or Latino,White,Female,1,145000,5.875,365000,34,45-54
Hispanic or Latino,White,Joint,3,415000,4.458762699,705000,115,45-54
Hispanic or Latino,White,Male,1,175000,5.875,295000,44,35-44
Hispanic or Latino,White,Male,1,395000,5.999,805000,135,35-44
Hispanic or Latino,White,Male,3,85000,4.458762699,125000,30,45-54
Hispanic or Latino,White,Male,3,265000,4.458762699,325000,81,35-44
Hispanic or Latino,White,Male,3,125000,4.458762699,365000,67,25-34
Hispanic or Latino,White,Male,3,375000,4.458762699,485000,90,35-44
Not Hispanic or Latino,White,Male,3,105000,4.458762699,395000,32,65-74
Hispanic or Latino,White,Female,3,505000,4.458762699,725000,167,45-54
Hispanic or Latino,White,Joint,3,335000,4.458762699,455000,119,25-34
Hispanic or Latino,White,Male,1,225000,5.875,355000,66,35-44
Hispanic or Latino,White,Joint,3,505000,4.458762699,775000,117,55-64
Hispanic or Latino,White,Male,3,275000,4.458762699,555000,137,35-44
Hispanic or Latino,White,Male,1,285000,5.875,575000,83,45-54
Hispanic or Latino,White,Male,1,145000,5.875,265000,31,35-44
Hispanic or Latino,White,Female,1,345000,6.124,545000,68,35-44
Hispanic or Latino,White,Male,3,85000,4.458762699,125000,28,45-54
Not Hispanic or Latino,White,Male,3,225000,4.458762699,355000,71,45-54
Not Hispanic or Latino,White,Joint,3,315000,4.458762699,805000,62,55-64
Hispanic or Latino,White,Joint,3,335000,4.458762699,415000,71,35-44
Hispanic or Latino,White,Male,3,195000,4.458762699,245000,74,35-44
Hispanic or Latino,White,Male,1,105000,5.75,325000,125,35-44
Not Hispanic or Latino,Asian,Male,1,445000,3.75,505000,88,45-54
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,915000,4.875,965000,188,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,575000,3.875,595000,93,25-34
Not Hispanic or Latino,Black or African American,Female,1,455000,4.5,605000,117,65-74
Ethnicity Not Available,Race Not Available,Sex Not Available,1,395000,4.25,465000,68,35-44
Not Hispanic or Latino,White,Joint,1,145000,4.25,175000,49,65-74
Ethnicity Not Available,Race Not Available,Female,1,525000,5.375,535000,101,35-44
Not Hispanic or Latino,Asian,Female,1,455000,5.75,445000,100,25-34
Ethnicity Not Available,Race Not Available,Female,1,355000,5.375,345000,106,35-44
Hispanic or Latino,White,Joint,1,375000,4.25,365000,146,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,195000,5,245000,51,25-34
Hispanic or Latino,White,Male,1,375000,5.125,395000,74,25-34
Not Hispanic or Latino,Asian,Male,3,455000,4.458762699,415000,84,25-34
Not Hispanic or Latino,White,Joint,1,345000,4.25,405000,205,25-34
Hispanic or Latino,Black or African American,Male,1,225000,4.625,765000,54,45-54
Ethnicity Not Available,Race Not Available,Joint,1,395000,3.5,385000,131,25-34
Not Hispanic or Latino,American Indian or Alaska Native,Female,1,265000,4,265000,61,25-34
Not Hispanic or Latino,Asian,Male,1,355000,4.375,355000,97,25-34
Not Hispanic or Latino,Asian,Joint,1,655000,5.125,685000,249,25-34
Joint,White,Joint,1,345000,3.625,345000,128,45-54
Not Hispanic or Latino,Black or African American,Male,1,415000,4.5,405000,85,25-34
Ethnicity Not Available,Race Not Available,Joint,1,435000,4.75,535000,143,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,505000,4.375,745000,111,35-44
Ethnicity Not Available,Race Not Available,Joint,1,445000,4.125,445000,107,25-34
Not Hispanic or Latino,Asian,Male,1,755000,4.625,845000,160,25-34
Not Hispanic or Latino,White,Male,1,355000,4.5,355000,105,35-44
Not Hispanic or Latino,White,Joint,1,305000,4.75,405000,170,45-54
Not Hispanic or Latino,White,Male,1,325000,4.375,335000,77,55-64
Ethnicity Not Available,Race Not Available,Joint,1,505000,5.125,545000,147,25-34
Not Hispanic or Latino,White,Male,1,235000,4.375,235000,62,25-34
Not Hispanic or Latino,White,Joint,1,395000,4.625,395000,91,<25
Hispanic or Latino,American Indian or Alaska Native,Male,1,485000,4.625,475000,126,35-44
Not Hispanic or Latino,Race Not Available,Female,1,405000,4.875,425000,59,25-34
Not Hispanic or Latino,Asian,Male,1,185000,4,265000,26,25-34
Not Hispanic or Latino,Black or African American,Joint,1,685000,4.25,695000,131,45-54
Not Hispanic or Latino,Joint,Joint,1,815000,4.875,815000,205,35-44
Not Hispanic or Latino,Asian,Male,1,795000,3.125,825000,183,65-74
Ethnicity Not Available,Race Not Available,Male,1,335000,4.875,355000,70,35-44
Not Hispanic or Latino,Black or African American,Male,1,475000,4.375,475000,109,35-44
Joint,Race Not Available,Joint,1,335000,3.625,345000,69,25-34
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,225000,4.375,235000,73,>74
Not Hispanic or Latino,White,Joint,1,565000,4.875,605000,128,45-54
Not Hispanic or Latino,Black or African American,Joint,1,395000,4.375,395000,105,65-74
Not Hispanic or Latino,Asian,Female,1,95000,3.875,465000,103,55-64
Not Hispanic or Latino,White,Male,1,665000,5.625,745000,245,65-74
Ethnicity Not Available,Race Not Available,Joint,1,605000,3.625,615000,133,35-44
Not Hispanic or Latino,Asian,Female,1,165000,4,155000,52,45-54
Not Hispanic or Latino,White,Female,1,475000,5.25,535000,211,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,315000,4.125,315000,80,25-34
Not Hispanic or Latino,Joint,Joint,1,385000,6,395000,108,25-34
Hispanic or Latino,White,Female,1,165000,5.625,195000,42,35-44
Not Hispanic or Latino,Black or African American,Male,1,235000,4.5,255000,80,65-74
Not Hispanic or Latino,Joint,Joint,3,545000,4.458762699,545000,136,45-54
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Joint,1,575000,4.125,615000,120,45-54
Not Hispanic or Latino,Black or African American,Male,1,665000,4.375,655000,179,45-54
Not Hispanic or Latino,Asian,Joint,1,595000,4,705000,103,55-64
Not Hispanic or Latino,Asian,Male,1,395000,3.875,585000,89,65-74
Not Hispanic or Latino,White,Joint,1,225000,4.75,375000,126,45-54
Ethnicity Not Available,Race Not Available,Joint,1,505000,3.875,495000,109,25-34
Not Hispanic or Latino,White,Male,1,755000,4.875,845000,155,25-34
Not Hispanic or Latino,Joint,Joint,1,205000,3.5,375000,47,55-64
Hispanic or Latino,White,Male,1,785000,4.375,855000,111,45-54
Not Hispanic or Latino,White,Female,1,355000,5.625,355000,91,45-54
Not Hispanic or Latino,Black or African American,Joint,1,485000,4.125,475000,136,35-44
Not Hispanic or Latino,White,Male,1,505000,4.5,625000,160,35-44
Not Hispanic or Latino,Black or African American,Male,1,595000,4.125,625000,139,35-44
Hispanic or Latino,Asian,Male,1,435000,4,425000,94,25-34
Not Hispanic or Latino,White,Joint,1,605000,5.25,745000,115,45-54
Hispanic or Latino,White,Joint,1,565000,3.625,625000,180,35-44
Not Hispanic or Latino,White,Joint,1,495000,5.5,495000,149,25-34
Hispanic or Latino,Asian,Female,1,485000,5.125,485000,112,35-44
Hispanic or Latino,White,Male,1,455000,4.125,435000,120,35-44
Not Hispanic or Latino,White,Male,1,345000,4.125,355000,63,35-44
Hispanic or Latino,Race Not Available,Male,1,215000,4.5,215000,60,>74
Not Hispanic or Latino,White,Male,1,275000,4.625,265000,70,25-34
Hispanic or Latino,Race Not Available,Female,1,145000,3.875,235000,21,35-44
Not Hispanic or Latino,White,Joint,1,235000,5.375,245000,105,65-74
Not Hispanic or Latino,Black or African American,Female,1,385000,5.375,375000,120,35-44
Joint,White,Joint,1,295000,4,465000,110,45-54
Ethnicity Not Available,Race Not Available,Male,1,555000,4.375,565000,150,35-44
Hispanic or Latino,White,Male,1,385000,3.75,405000,95,35-44
Not Hispanic or Latino,White,Joint,1,475000,4,475000,124,25-34
Joint,White,Joint,1,125000,5.25,135000,75,25-34
Not Hispanic or Latino,Asian,Male,1,835000,4.625,835000,163,35-44
Not Hispanic or Latino,Asian,Male,1,375000,4.125,375000,72,25-34
Not Hispanic or Latino,Black or African American,Joint,3,385000,4.458762699,565000,73,65-74
Not Hispanic or Latino,Asian,Female,1,445000,5.5,435000,99,35-44
Not Hispanic or Latino,White,Male,1,135000,5.875,135000,60,25-34
Not Hispanic or Latino,White,Male,1,485000,5.5,485000,191,45-54
Not Hispanic or Latino,White,Female,3,475000,4.458762699,765000,246,45-54
Not Hispanic or Latino,White,Joint,1,195000,4.5,315000,32,65-74
Not Hispanic or Latino,White,Joint,1,25000,5.92,695000,153,55-64
Ethnicity Not Available,Asian,Female,3,355000,4.458762699,505000,80,65-74
Hispanic or Latino,Race Not Available,Male,3,385000,4.458762699,395000,67,<25
Not Hispanic or Latino,White,Joint,1,215000,3,425000,107,55-64
Not Hispanic or Latino,White,Joint,1,335000,4.625,375000,107,45-54
Not Hispanic or Latino,White,Male,1,485000,4.5,505000,107,25-34
Not Hispanic or Latino,Joint,Joint,1,845000,5.375,825000,223,35-44
Not Hispanic or Latino,White,Male,1,405000,5.375,435000,128,55-64
Not Hispanic or Latino,White,Male,1,135000,4.125,425000,49,45-54
Hispanic or Latino,Race Not Available,Female,1,155000,5.375,175000,27,<25
Not Hispanic or Latino,White,Joint,1,605000,3.875,805000,193,45-54
Not Hispanic or Latino,Joint,Female,1,585000,4.5,575000,136,25-34
Not Hispanic or Latino,Black or African American,Female,1,295000,4.125,305000,66,25-34
Not Hispanic or Latino,Joint,Joint,1,525000,4.75,545000,164,25-34
Not Hispanic or Latino,White,Female,1,405000,4.5,635000,95,35-44
Not Hispanic or Latino,Black or African American,Joint,1,425000,3.875,415000,84,25-34
Not Hispanic or Latino,White,Male,1,655000,4.125,655000,145,35-44
Not Hispanic or Latino,White,Joint,1,105000,6,885000,160,55-64
Not Hispanic or Latino,Joint,Joint,1,655000,4.125,685000,225,35-44
Not Hispanic or Latino,White,Male,1,185000,4,185000,114,25-34
Ethnicity Not Available,Black or African American,Female,1,295000,4.375,295000,74,25-34
Not Hispanic or Latino,White,Male,1,345000,4.375,355000,89,25-34
Not Hispanic or Latino,Black or African American,Joint,3,455000,4.458762699,445000,173,55-64
Not Hispanic or Latino,White,Female,1,225000,4.125,225000,58,25-34
Not Hispanic or Latino,White,Joint,1,585000,4.375,745000,195,65-74
Hispanic or Latino,Race Not Available,Male,1,55000,5.75,425000,52,55-64
Not Hispanic or Latino,White,Joint,3,435000,4.458762699,505000,166,45-54
Not Hispanic or Latino,Black or African American,Male,1,215000,4,225000,72,35-44
Not Hispanic or Latino,Black or African American,Male,1,745000,4.375,755000,118,65-74
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,235000,6.125,265000,106,35-44
Ethnicity Not Available,Race Not Available,Joint,1,555000,4.75,625000,117,45-54
Not Hispanic or Latino,Black or African American,Female,1,215000,4.125,215000,50,<25
Joint,White,Joint,1,235000,4.375,405000,150,45-54
Not Hispanic or Latino,White,Joint,1,275000,4.125,275000,67,25-34
Hispanic or Latino,American Indian or Alaska Native,Male,1,305000,4.375,465000,106,65-74
Not Hispanic or Latino,White,Joint,1,275000,4.625,265000,107,25-34
Not Hispanic or Latino,Asian,Joint,1,255000,6,525000,178,45-54
Not Hispanic or Latino,White,Joint,1,285000,5.125,385000,173,45-54
Not Hispanic or Latino,White,Male,1,245000,5.875,265000,85,55-64
Hispanic or Latino,White,Male,1,85000,6.05,255000,55,55-64
Not Hispanic or Latino,White,Male,1,195000,4.375,205000,58,25-34
Not Hispanic or Latino,White,Male,1,205000,3.75,265000,51,<25
Not Hispanic or Latino,White,Female,3,185000,4.458762699,185000,52,<25
Hispanic or Latino,White,Joint,1,515000,4.5,505000,108,25-34
Hispanic or Latino,Race Not Available,Joint,1,295000,5.75,325000,118,35-44
Not Hispanic or Latino,Black or African American,Joint,1,545000,4.125,525000,141,25-34
Not Hispanic or Latino,White,Male,1,465000,4,535000,134,45-54
Hispanic or Latino,White,Male,1,255000,5.25,265000,76,35-44
Not Hispanic or Latino,Joint,Male,1,455000,4.125,535000,187,<25
Not Hispanic or Latino,Asian,Joint,1,495000,4.125,495000,112,55-64
Hispanic or Latino,White,Male,1,345000,4.125,345000,88,35-44
Not Hispanic or Latino,White,Joint,3,125000,4.458762699,505000,170,35-44
Not Hispanic or Latino,White,Female,1,275000,5.125,385000,83,65-74
Hispanic or Latino,Race Not Available,Joint,1,175000,4.375,185000,59,25-34
Not Hispanic or Latino,White,Joint,1,405000,4.125,395000,95,25-34
Not Hispanic or Latino,White,Joint,1,215000,2.75,485000,141,25-34
Not Hispanic or Latino,White,Male,1,505000,4.125,495000,70,25-34
Not Hispanic or Latino,White,Joint,1,945000,4.625,945000,234,25-34
Ethnicity Not Available,White,Female,1,245000,3.625,245000,76,25-34
Not Hispanic or Latino,Black or African American,Joint,1,435000,5.5,425000,153,45-54
Not Hispanic or Latino,American Indian or Alaska Native,Male,3,265000,4.458762699,285000,68,25-34
Not Hispanic or Latino,Joint,Joint,1,425000,4.375,575000,154,45-54
Joint,White,Joint,1,375000,4.125,405000,193,25-34
Not Hispanic or Latino,White,Male,1,265000,5.25,285000,50,25-34
Joint,Joint,Joint,1,525000,4,525000,161,45-54
Ethnicity Not Available,Race Not Available,Joint,1,535000,3.875,525000,159,25-34
Not Hispanic or Latino,White,Joint,1,715000,4,905000,170,35-44
Not Hispanic or Latino,White,Joint,1,625000,3.875,615000,152,25-34
Hispanic or Latino,White,Male,1,255000,4,245000,73,<25
Not Hispanic or Latino,Asian,Female,1,225000,5.75,835000,185,45-54
Not Hispanic or Latino,White,Male,1,55000,5.5,855000,70,55-64
Not Hispanic or Latino,Asian,Male,3,255000,4.458762699,425000,26,55-64
Not Hispanic or Latino,White,Male,1,125000,6,465000,198,25-34
Hispanic or Latino,White,Male,1,265000,4.375,265000,60,25-34
Not Hispanic or Latino,White,Joint,1,75000,4.125,135000,108,65-74
Not Hispanic or Latino,American Indian or Alaska Native,Male,3,285000,4.458762699,285000,38,35-44
Hispanic or Latino,White,Joint,1,455000,4,465000,133,45-54
Not Hispanic or Latino,Asian,Male,1,525000,4.375,715000,104,35-44
Ethnicity Not Available,Race Not Available,Joint,1,485000,3.5,715000,159,45-54
